old_fqcn,new_fqcn
Ecotone\Messaging\Attribute\Asynchronous,Ecotone\Api\Attribute\Asynchronous
Ecotone\Messaging\Attribute\BusinessMethod,Ecotone\Api\Attribute\BusinessMethod
Ecotone\Messaging\Attribute\ChannelInterceptor,Ecotone\Api\Attribute\ChannelInterceptor
Ecotone\Messaging\Attribute\ClassReference,Ecotone\Api\Attribute\ClassReference
Ecotone\Messaging\Attribute\ConsoleCommand,Ecotone\Api\Attribute\ConsoleCommand
Ecotone\Messaging\Attribute\ConsoleParameterOption,Ecotone\Api\Attribute\ConsoleParameterOption
Ecotone\Messaging\Attribute\Converter,Ecotone\Api\Attribute\Converter
Ecotone\Messaging\Attribute\Deduplicated,Ecotone\Api\Attribute\Deduplicated
Ecotone\Messaging\Attribute\DelayedRetry,Ecotone\Api\Attribute\DelayedRetry
Ecotone\Messaging\Attribute\Enterprise,Ecotone\Api\Attribute\Enterprise
Ecotone\Messaging\Attribute\ErrorChannel,Ecotone\Api\Attribute\ErrorChannel
Ecotone\Messaging\Attribute\IgnoreDocblockTypeHint,Ecotone\Api\Attribute\IgnoreDocblockTypeHint
Ecotone\Messaging\Attribute\InternalHandler,Ecotone\Api\Attribute\InternalHandler
Ecotone\Messaging\Attribute\IsAbstract,Ecotone\Api\Attribute\IsAbstract
Ecotone\Messaging\Attribute\MediaTypeConverter,Ecotone\Api\Attribute\MediaTypeConverter
Ecotone\Messaging\Attribute\MessageGateway,Ecotone\Api\Attribute\MessageGateway
Ecotone\Messaging\Attribute\ModuleAnnotation,Ecotone\Api\Attribute\ModuleAnnotation
Ecotone\Messaging\Attribute\OnConsumerStop,Ecotone\Api\Attribute\OnConsumerStop
Ecotone\Messaging\Attribute\OrchestratorGateway,Ecotone\Api\Attribute\OrchestratorGateway
Ecotone\Messaging\Attribute\Orchestrator,Ecotone\Api\Attribute\Orchestrator
Ecotone\Messaging\Attribute\Poller,Ecotone\Api\Attribute\Poller
Ecotone\Messaging\Attribute\PropagateHeaders,Ecotone\Api\Attribute\PropagateHeaders
Ecotone\Messaging\Attribute\Router,Ecotone\Api\Attribute\Router
Ecotone\Messaging\Attribute\Scheduled,Ecotone\Api\Attribute\Scheduled
Ecotone\Messaging\Attribute\ServiceActivator,Ecotone\Api\Attribute\ServiceActivator
Ecotone\Messaging\Attribute\ServiceContext,Ecotone\Api\Attribute\ServiceContext
Ecotone\Messaging\Attribute\Splitter,Ecotone\Api\Attribute\Splitter
Ecotone\Messaging\Attribute\Transformer,Ecotone\Api\Attribute\Transformer
Ecotone\Messaging\Attribute\WithoutDatabaseTransaction,Ecotone\Api\Attribute\WithoutDatabaseTransaction
Ecotone\Messaging\Attribute\WithoutMessageCollector,Ecotone\Api\Attribute\WithoutMessageCollector
Ecotone\Messaging\Attribute\Endpoint\AddHeader,Ecotone\Api\Attribute\Endpoint\AddHeader
Ecotone\Messaging\Attribute\Endpoint\ContentType,Ecotone\Api\Attribute\Endpoint\ContentType
Ecotone\Messaging\Attribute\Endpoint\Delayed,Ecotone\Api\Attribute\Endpoint\Delayed
Ecotone\Messaging\Attribute\Endpoint\Priority,Ecotone\Api\Attribute\Endpoint\Priority
Ecotone\Messaging\Attribute\Endpoint\RemoveHeader,Ecotone\Api\Attribute\Endpoint\RemoveHeader
Ecotone\Messaging\Attribute\Endpoint\TimeToLive,Ecotone\Api\Attribute\Endpoint\TimeToLive
Ecotone\Messaging\Attribute\Interceptor\After,Ecotone\Api\Attribute\Interceptor\After
Ecotone\Messaging\Attribute\Interceptor\Around,Ecotone\Api\Attribute\Interceptor\Around
Ecotone\Messaging\Attribute\Interceptor\Before,Ecotone\Api\Attribute\Interceptor\Before
Ecotone\Messaging\Attribute\Interceptor\Presend,Ecotone\Api\Attribute\Interceptor\Presend
Ecotone\Messaging\Attribute\Parameter\ConfigurationVariable,Ecotone\Api\Attribute\Parameter\ConfigurationVariable
Ecotone\Messaging\Attribute\Parameter\Fetch,Ecotone\Api\Attribute\Parameter\Fetch
Ecotone\Messaging\Attribute\Parameter\Header,Ecotone\Api\Attribute\Parameter\Header
Ecotone\Messaging\Attribute\Parameter\Headers,Ecotone\Api\Attribute\Parameter\Headers
Ecotone\Messaging\Attribute\Parameter\Payload,Ecotone\Api\Attribute\Parameter\Payload
Ecotone\Messaging\Attribute\Parameter\Reference,Ecotone\Api\Attribute\Parameter\Reference
Ecotone\AnnotationFinder\Attribute\Environment,Ecotone\Api\Attribute\Environment
Ecotone\Modelling\Attribute\AggregateEvents,Ecotone\Api\Attribute\AggregateEvents
Ecotone\Modelling\Attribute\Aggregate,Ecotone\Api\Attribute\Aggregate
